,Clusters,organization_name,naics_code
118,[757],2090108 Ontario Ltd,236220.0
119,[1120],Northern Material Processing Inc.,493190.0
120,[77],Parmalat Canada Inc.,311511.0
121,[135],Northern Ontario School of Medicine,611310.0
122,[1759],Central Ontario Hydroseeding,238990.0
123,[1842],Madawaska Valley Association for Community Living,623210.0
124,[1993],St. Joseph's Continuing Care Centre,622310.0
125,[2703],Erie Shores Healthcare,622111.0
126,[1464],Chouinard Bros Aluminum Ltd.,238160.0
127,[77],Parmalat Canada Inc.,311511.0
128,[2318],Canadian Food Inspection Agency,911240.0
129,[2935],M Genua Excavating & Trenching,238910.0
130,[2426],Good Shepherd Refuge Social Ministries,624230.0
131,[6],Corporation of The Township of Machar,913910.0
132,[1978],Regional Municipality of Waterloo,913910.0
133,[372],Source (Bell) Electronics Inc.,417320.0
134,[2691],Cusentino Ltd,238910.0
135,[903],Conseil Scolaire De District Catholique De L'Est Ontarien,611110.0
136,[2022],Regina Gardens,623110.0
137,[511],Handi Transit,485990.0
138,[2768],Inkas Security Services Ltd,561612.0
139,[914],Southbridge Health Care LP operating as The Palace Alexandria,623110.0
140,[1499],Board of Health Northwestern Health Unit,621494.0
141,[1412],Alexandra Hospital,622111.0
142,[1358],Dollar Thrifty Automotive Group Canada Inc,532111.0
143,[2392],Algoma Manor Nursing Home Thessalon,623110.0
144,[963],Royal Oak Long Term Care Centre,623110.0
145,[1040],Gordon Schoenfeldt,238220.0
146,[916],Tube City Ims Canada Inc,237990.0
147,[1046],Ryder Truck Rental Canada Ltd,484110.0
148,[712],Brooks Creative House Inc.,541810.0
149,[1366],P.R.W. Excavating Contractors Ltd,237990.0
150,[821],OPGI Management Limited Partnership,531310.0
151,[2087],Utility Contractors' Association of Ontario,237130.0
152,[1282],Yanfeng Canada Automotive Interior Systems ULC (YFAI),336360.0
153,[2957],Federal Marine Terminals,493110.0
154,[135],North American Steel Equipment Inc.,337127.0
155,[2615],Pipe Line Contractors Association of Canada,237120.0
156,[1708],Ross Memorial Hospital,622111.0
157,[6],Cope Construction and Contracting Inc.,238990.0
158,[1244],Unicco Facility Services Canada Co,561722.0
159,[861],Domtar Inc.,322121.0
160,[139],Woodstock Hydro Services Inc,221122.0
161,[2500],Selkirk Canada Corporation,332329.0
162,[2790],Syncor Construction Inc,238340.0
163,[1362],Awl Excavating Inc,237990.0
164,[2105],Mckelvey Contracting Ltd,238990.0
165,[1340],Maple Terrazzo Marble & Tile Inc,238340.0
166,[27],Aramark Canada Ltd.,722310.0
167,[1205],Quality Home Trim,238.0
168,[3019],Sonoco Canada Corp,322219.0
169,[2311],Kennedy Electric,236110.0
170,[798],David Martin Enterprises (London) Ltd,561722.0
171,[1418],"Driver's Industrial Installation Ltd., FT Asset Management Services Integrated Ltd.",238390.0
172,[2101],Alden Equipment Inc,237310.0
173,[185],Lakehead Marine And Industrial Inc,336611.0
174,[305],Bluewater District School Board,611110.0
175,[2008],Hobart Food Equipment Group Canada a Division of ITW Canada Inc,333310.0
176,[1609],Enwin Utilities Ltd,221122.0
177,[720],Port Hope Police Services Board,913130.0
178,[1545],"Elizabeth Centre, a division of Valley East Long Term Care Centre Inc.",623110.0
179,[1666],Graduate Student Society,813410.0
180,[2727],Chartwell Pinewood,623310.0
181,[2893],Spallacci Group Limited,236110.0
182,[36],Canadian Niagara Power Inc,221122.0
183,[282],Vaughan Public Library Board,519121.0
184,[1431],Jobstart,561310.0
185,[1994],1752336 Ontario Ltd (Total Source Contracting),237990.0
186,[643],1000060 Ontario Ltd Cob Cobi Concrete Sawing,238990.0
187,[1274],Groves Park Lodge,623110.0
188,[1241],Pace Independent Living,623222.0
189,[700],Osprey Media Group Inc (Kingston Whig-Standard),511110.0
190,[285],Ontario Addiction Treatment Centres,621420.0
191,[757],1017828 Ontario Inc,237310.0
192,[1993],St. Michaels Inc (7849532 Canada Inc),238910.0
193,[1134],Advanced Structural Waterproofing,238140.0
194,[3127],Cox Construction Ltd,237310.0
195,[1935],Rite Pak Produce Co. Limited,413150.0
196,[983],Concrete Walls Ltd,238340.0
197,[825],Crown Metal Packaging Canada Lp,332431.0
198,[2620],Chateau Park Nursing Home,623110.0
199,[1266],Surex Community Services,623210.0
200,[2915],Carleton University,611310.0
201,[1287],Rexel Canada Electrical Inc,416110.0
202,[665],Avaya Canada Corp,417320.0
203,[1721],Mini-Skool A Childs Place Inc,624410.0
204,[769],Corporation of the Township of Addington Highlands,913910.0
205,[2421],Waypoint Centre For Mental Health Care,622210.0
206,[2904],Magic Touch Building Maintenance Ltd,236220.0
207,[610],Canada Catering Co Ltd,722320.0
208,[1356],Belding Tank Technologies Inc,238220.0
209,[2370],Children'S Aid Society Of Northumberland,624110.0
210,[1623],C C Construction Site Service Group Inc,237120.0
211,[2839],City of Kenora Public Library Board,519121.0
212,[1335],Halton District School Board,611110.0
213,[61],Hamilton International Airport Limited,488119.0
214,[2138],Conseil Scolaire Catholique Du Nouvel-Ontario,611110.0
215,[1745],York Condominium Corporation No. 60,531310.0
216,[643],1796518 Ontario Inc o/a Lakeshore Roadworks,237110.0
217,[1283],Black Coalition for AIDS Prevention of Metropolitan Toronto,624190.0
218,[6],Corporation of The Township of Bonfield,913910.0
219,[1394],TForce Final Mile,484121.0
220,[107],Caressant Care Nursing and Retirement Homes Limited (Woodstock Retirement Home),623110.0
221,[701],Campus Co-Operative Day Care Centre,624410.0
222,[1145],Brant County Health Unit,621494.0
223,[2318],Canadian Standards Association,813910.0
224,[1669],Engineered Foam Products Canada Ltd,326290.0
225,[1885],Corporation of the City of Brantford,913910.0
226,[2324],Oak Leaf Confections Co.,311340.0
227,[2066],WAYS Mental Health Support,624110.0
228,[697],Bellissimo Excavating Ltd,236220.0
229,[2077],Hastings And Prince Edward District School Board,611110.0
230,[1190],Caressant Care Nursing & Retirement Homes Limited,623110.0
231,[425],Cornwall Police Services Board,913130.0
232,[1226],Thunder Bay District Health Unit,621494.0
233,[526],Winkup Construction Ltd (Lasalle Backhoe Service),237990.0
234,[1510],Meadowcroft Holdings Inc,623310.0
235,[1020],Meritor Aftermarket Canada Inc,
236,[2967],Youth Services YSB of Ottawa,624110.0
237,[1240],Corporation of The United Counties of Prescott and Russell/Corporation Des Comtés Unis De Prescott et Russell,621911.0
238,[280],On The Level,238350.0
239,[1443],R M Belanger Ltd,237120.0
240,[2706],SFL Canusa Canada Ltd.,325510.0
241,[972],Thyssenkrupp Encoke Inc,238140.0
242,[1142],Algoma Central Railway Inc,482114.0
243,[1019],County Of Elgin At Elgin Manor,623110.0
244,[425],Corporation of The City of Orillia,913910.0
245,[125],Univar Solutions Canada Ltd.,418410.0
246,[3042],Dawson's Excavating,237990.0
247,[1201],J & R Gradall Rentals Inc,237310.0
248,[458],Emir-Hal Entrprises Inc,238170.0
249,[1578],Blue Star Construction Corp,237310.0
250,[2977],Complex Services Inc c.o.b. Casino Niagara and Niagara Fallsview Casino Resort,713210.0
251,[365],Findhelp Information Services,813920.0
252,[2450],Guildcrest Building Corp,321992.0
253,[38],Great Northern Nursing Centre,623110.0
254,[1240],Cornwall Street Railway Light & Power Company Limited Cornwall Ontario - Operating as Cornwall Electric a FortisOntario Company,221122.0
255,[610],Canadian Opera Company,711112.0
256,[1428],True Flooring Inc,238990.0
257,[1111],Interior Systems Contractors Association of Ontario,238310.0
258,[643],2337216 Ontario Inc. o/a Performance Elevator,238291.0
259,[769],Corporation of the Municipality of Clarington,913910.0
260,[769],Corporation of the Municipality of St-Charles,913910.0
261,[757],1256458 Ontario Ltd,238910.0
262,[1142],Algoma Central Railway Inc,482114.0
263,[2764],Rhodes Investments (Sault) Inc,238910.0
264,[2359],Santa Maria Foods ULC - A Sofina Foods Company,311614.0
265,[6],Corporation of the City of Belleville,913140.0
266,[2883],1173336 Ontario Ltd (Dominion Sheet Metal),238.0
267,[2438],Strong Foundation Inc,236220.0
268,[1885],Corporation of the City of Cornwall,623310.0
269,[801],Morguard NAR (Ontario) Holdings Limited,531111.0
270,[988],Anne & Max Tanenbaum Community Hebrew Academy of Toronto,611110.0
271,[402],Garson Pipe Contractors Limited,237120.0
272,[896],Amor Construction,238910.0
273,[634],PNR Railworks Inc,237990.0
274,[3066],Occupational Health Clinics for Ontario Workers Inc.,621499.0
275,[632],Perfect Metro Cleaners Inc.,561722.0
276,[60],Extendicare Scarborough,623110.0
277,[396],Hydon Holdings Ltd,722110.0
278,[1899],Collingwood General and Marine Hospital,622111.0
279,[1994],1531147 Ontario Inc (Millennium Crane Rental Ltd),237990.0
280,[171],National Steel Car Ltd,336510.0
281,[1449],Sault Star (Postmedia),511110.0
282,[2548],McMurrich Sprouts Daycare,624410.0
283,[3151],Nipissing-Parry Sound Student Transportation Services,485410.0
284,[115],"2480102 Ontario Inc. carrying on as, Best Western Plus Mariposa Inn & Conference Centre",721111.0
285,[1223],Conseil Scolaire Catholique Franco-Nord,611110.0
286,[2566],"CKKW/CFCA-FM, Division of CTV Ltd",515110.0
287,[1347],Cdn Auto Workers Union,813930.0
288,[712],Brookfield Properties Ltd,531310.0
289,[740],Sunbeam Centre,623222.0
290,[620],Taranis Contracting Group Ltd.,237310.0
291,[1127],University Health Network,622111.0
292,[1423],Mcgillivray And Sons Contractors Ltd,237310.0
293,[160],Air Canada,481110.0
294,[16],WBSZ Holdings Ltd. o/a Comfort Inn South Windsor,721111.0
295,[421],Alexa Construction Inc,238990.0
296,[1146],Coppley Ltd.,315220.0
297,[2697],880019 Ontario Ltd,237110.0
298,[1068],Tobias House Attendant Care Inc,623999.0
299,[1358],Dominion Motors (Thunder Bay 1984) Limited,441110.0
300,[1726],Ruetgers Canada Inc. (Formerly Vft Canada Inc),325190.0
301,[110],Laurentian University/L'Universite Laurentienne de Sudbury,611310.0
302,[526],Windsor-Essex Catholic District School Board,611110.0
303,[424],Naylor Building Partnerships Inc.,238990.0
304,[457],Advance Cutting & Coring Ltd.,238990.0
305,[1953],Mon Sheong Long Term Care Centre,623110.0
306,[2989],K A C Enterprises,237310.0
307,[2044],Walkerville Rest Home,623310.0
308,[244],Compass Canada Support Services (Eurest Services),561722.0
309,[857],Foam Solution Inc.,325220.0
310,[1250],Sivaco Ontario,331222.0
311,[1518],Wabco Freight Car Products Ltd,332910.0
312,[1103],708055 Ontario Ltd (Global Crane Ltd),237110.0
313,[27],Aramark Canada Ltd.,561722.0
314,[6],Corporation of The City of Brockville,913910.0
315,[1689],Forages Mse Drilling,236220.0
316,[2287],Lafarge Canada Inc.,212314.0
317,[1162],Michael Garron Hospital,622111.0
318,[80],J & A Cleaning Solutions Limited,561722.0
319,[107],CAA Travel (South Central Ontario) Inc. and CAA Services (South Central Ontario) Inc.,813920.0
320,[985],Massey Wholesale Ltd.,413110.0
321,[2287],Lafarge Canada Inc.,212314.0
322,[1646],Dufferin Construction Co,237130.0
323,[705],Maple Industries Inc,331110.0
324,[2414],Revera Living,623110.0
325,[3078],Ams Contracting,236220.0
326,[2867],Ansell Mechanical Ltd,238220.0
327,[643],2035205 Ontario Ltd (Britannia Price Chopper),445110.0
328,[213],Independent Unionized Landscaping Contractors’ Association on behalf of T. Bolton Sod Co Ltd,238990.0
329,[1759],Centro-Clinton Day Care Centre,624410.0
330,[113],GDI Services (Canada) LP,561722.0
331,[1963],Kemptville District Hospital,622111.0
332,[1698],St. Joseph's Villa of Sudbury,623310.0
333,[2716],Cadillac Fairview Corporation Limited,531120.0
334,[461],Revolution VSC LP operating as Terrapure Environmental (Tonolli Canada),562210.0
335,[2984],Cobourg Police Services Board,913130.0
336,[997],"Oshawa PUC Networks, Inc",221122.0
337,[7],Environmental Commissioner of Ontario,912910.0
338,[1244],University of Ottawa Students’ Union,813410.0
339,[1320],Ridgewood Industries,337123.0
340,[2915],Carleton University,611310.0
341,[1993],Stonehaven Specialty Contracting Corp,238910.0
342,[2305],Baycrest Centre For Geriatric Care,622310.0
343,[2604],Bayfield Homes Ltd.,623992.0
344,[1803],Industries Tri-Cept Inc,333299.0
345,[1142],Algoma District School Board,611110.0
346,[2048],Vermilion Bay Co-Operative Limited,452999.0
347,[643],1652472 Ontario Inc O/A North Key Construction,237120.0
348,[1622],Brian Thompson Excavating Ltd,236220.0
349,[60],Extendicare (Canada) Inc,623110.0
350,[600],Bombardier Aerospace de Havilland Division (Toronto),336410.0
351,[377],"Chartwells, a divison of Compass Canada",722310.0
352,[2572],A & F Di Carlo Construction Ltd,237310.0
353,[3180],African & Caribbean Council On Hiv/Aids In Ontario (Accho),813210.0
354,[507],Hb White Canada Corp,237120.0
355,[759],King Paving & Construction Ltd.,236220.0
356,[1604],Wellington House Nursing Home,623110.0
357,[1425],Nutra Services Inc.,722310.0
358,[1140],Royal Pine Homes,236110.0
359,[941],"Titan GMS LP, O/A Watson Building Supplies",416310.0
360,[125],University of Guelph (CFRU-FM),515110.0
361,[1353],Access Better Living Inc./Vie lndépendante et Enrichie,624120.0
362,[3123],R A B Properties,531310.0
363,[1909],Stirling Manor Nursing Home,623110.0
364,[1167],New-life Mills a division of Parrish and Heimbecker Ltd,311615.0
365,[9],Greif Bros Canada Inc,332439.0
366,[670],Clariant  Plastics & Coating Canada Inc.,325130.0
367,[759],Kingston Health Sciences Centre,622111.0
368,[2265],Jack Cooper Canada (LP2),484110.0
369,[679],Live Nation Canada Inc.,711321.0
370,[205],Mon Sheong Home For The Aged,623110.0
371,[2852],Eastern Ontario Health Unit,621494.0
372,[151],Renfrew County Catholic District School Board,611110.0
373,[411],Agc Flat Glass,238150.0
374,[714],Xerox Canada Ltd,334110.0
375,[1390],Best Western Primrose Hotel,721111.0
376,[2298],Specialty Care Inc,623110.0
377,[1729],Madonna Care Community,623110.0
378,[2426],Good Neighbours' Club o/a Haven Toronto,624190.0
379,[602],Wellington Catholic District School Board,611110.0
380,[1092],Villa Marconi Health Centre,623110.0
381,[2375],Corporation of The City of Sault Ste Marie,485110.0
382,[1176],Lansing Residence,623310.0
383,[2690],Rheem Canada Limited,416120.0
384,[2318],Canadian Nuclear Laboratories,541710.0
385,[2175],Memme Excavation Co Ltd,237110.0
386,[2109],Catalina Excavating Inc.,238910.0
387,[2186],"Accommodation, Information And Support Inc",531112.0
388,[2683],Acores T Construction Inc,238140.0
389,[759],Kingston Health Sciences Centre,622111.0
390,[1051],Kennedy Lodge Nursing Home,623110.0
391,[889],Mississauga Halton Local Health Integration Network,621610.0
392,[1787],Durham Residential Construction Labour Bureau,236110.0
393,[1030],Capital Paving Inc.,237310.0
394,[1041],Gravel Doctor Construction & Materials,238910.0
395,[2075],Redpath Sugar Ltd.,311310.0
396,[1647],"CTV Television, Division of Bell Media Inc.",515120.0
397,[3007],Murray Excavation & Demolition,238910.0
398,[1938],Ceva Logistics Canada Ulc,488990.0
399,[2533],Frm Contracting Inc,238910.0
400,[117],Wilfrid Laurier University,611310.0
401,[2584],Weston Bakeries Limited,311830.0
402,[425],Corporation of The City of Welland,485110.0
403,[492],Gottardo Enterprises-Oregon Construction Ltd,236220.0
404,[562],Community Care City of Kawartha Lakes,623110.0
405,[2031],Killarney Constructors Inc.,238910.0
406,[1085],Township of Hornepayne,913910.0
407,[6],Corporation of the Town of Wasaga Beach,913140.0
408,[795],Prosserman Jewish Community Centre,813410.0
409,[191],Craig's Backhoe Service,237310.0
410,[2426],Goderich Place Retirement Residence,623310.0
411,[1129],E.R. Schepens Electrical Ltd,238210.0
412,[2137],Capital Cutting & Coring Ltd.,238120.0
413,[1300],Community Living Ajax Pickering & Whitby,623210.0
414,[1467],Jadcon Flooring Ltd,238340.0
415,[51],Stone Lodge Retirement Home,623110.0
416,[2823],Thrive Counselling,624190.0
417,[2772],Niagara Formwork Structures Inc.,237990.0
418,[1093],Essex Powerlines Corp,221122.0
419,[113],GDI Services (Canada) LP,561722.0
420,[1659],Aem Equipment Rentals Ltd,237120.0
421,[757],1068132 Ontario Ltd,238140.0
422,[359],West Nipissing General Hospital,622111.0
423,[267],Greater Toronto Electrical Contractors Association,238210.0
424,[2359],Satin Finish Hardwood Flooring Ltd,321919.0
425,[244],Compass Canada Support Services Limited O/A Hurley,561722.0
426,[20],7480686 Ontario Ltd (A-Max Contracting),237120.0
427,[107],"Cascades Tissue Group  - Toronto PM, a division of Cascades Canada ULC.",322121.0
428,[3170],Hurricane Hydrovac Inc. a Division of Heaton Sanitation Ltd.,238910.0
429,[1127],Unger Nursing Homes Ltd.,623110.0
430,[2664],Bre-Ex Ltd,237990.0
431,[3064],Cavendish Manor Retirement Home,623310.0
432,[2473],Robert Soper Limited,314120.0
433,[1745],York Condominium Corporation No. 202,531310.0
434,[2375],Corporation of The Township of Lake of Bay,913910.0
435,[2283],Dixie Fence Ltd,238990.0
436,[2788],"G6 Canada Hospitality ULC, d/b/a Studio 6",721111.0
437,[1277],Transalta Generation Partnership O.H.S.C. Ottawa,221111.0
438,[1612],Deep River Public Library Board,519121.0
439,[2417],Bianchi Contracting (2004) Inc,237120.0
440,[896],AMCO Storage Inc.,493110.0
441,[36],Canadian Niagara Hotels Inc,721111.0
442,[769],Corporation of The Town of Whitchurch-Stouffville,913910.0
443,[2843],Bentall Kennedy (Canada) LP,531310.0
444,[88],Dater Excavating Inc,237310.0
445,[850],District of Kenora Home For The Aged Board of Management,623310.0
446,[1832],Traditions of Durham,623310.0
447,[2354],Omya Canada Inc.,327990.0
448,[3118],Tim Lipsitt Excavating,236220.0
449,[153],T & M Mechanical Ltd,238220.0
450,[6],Corporation of the Town of Kapuskasing,913140.0
451,[1244],Unicco Facility Services Canada Co,561722.0
452,[342],Santé Manitouwadge Health,622111.0
453,[1751],Mauser Canada Ltd.,332439.0
454,[1190],Caressant Care Nursing & Retirement Homes Ltd,623110.0
455,[3018],Residential Ornamental Contractors,238390.0
456,[359],West Carleton Sand & Gravel Inc,237310.0
457,[353],Siemens Canada Limited (Siemens Milltronics Process Instruments),334512.0
458,[1007],Hk Sheet Metal Ltd,238170.0
459,[2217],F.I. Contracting,238120.0
460,[1745],York Condominium Corporation # 331,531310.0
461,[2012],Innovative Group Facility & Building Services,561722.0
462,[2757],Dundas Manor Limited,623110.0
463,[1043],Construction Simdev,237990.0
464,[216],Middlesex Terrace Nursing Home,623110.0
465,[1708],Ross Memorial Hospital,622111.0
466,[122],C.A.A Masonry Inc,238140.0
467,[27],Aramark Canada Ltd.,722310.0
468,[562],Community Living Sarnia-Lambton,623210.0
469,[6],Corporation of the Town of Collingwood,913910.0
470,[2358],Matthews Hall,611110.0
471,[1051],Kennedy Lodge Nursing Home,623110.0
472,[2542],Prince Metal Products Ltd,336211.0
473,[5],Bee-Clean Building Maintenance Ltd,561722.0
474,[1519],Intercity Cermic Tile Centre,238340.0
475,[577],Dukesue Inc. o/a Livingstone Manor Retirement Residence,623310.0
476,[670],Clyde Steel Contracting Services Inc,238990.0
477,[2193],Horizons for Youth,624110.0
478,[1123],Assisted Living Southwestern Ontario,623993.0
479,[1126],Pilkington Glass of Canada Ltd,327214.0
480,[107],Caressant Care Nursing and Retirement Homes Limited (Arthur Nursing Home),623110.0
481,[632],Personal Attendant Care Inc.,624120.0
482,[68],Council of Canadians,813410.0
483,[2025],FMC Cutting & Coring/6484182 Canada Inc.,238990.0
484,[670],Clyde Union Pumps Canada An SPX Flow Company,333910.0
485,[1762],Algoma Ship Repair a Division of Algoma Central Corporation,336611.0
486,[419],Yrc Reimer,484110.0
487,[1885],Corporation of The Town of Marathon,913910.0
488,[302],Kerr Industries Ltd,333619.0
489,[2416],"Ottawa Citizen, A Division of Postmedia Network Inc.",511110.0
490,[375],SST Group of Companies,238990.0
491,[1759],Centre For Women & Trans People,813310.0
492,[99],Theo Vandenberk Construction Inc,238190.0
493,[3151],Niagara District Homes Committee for the Physically Disabled,623993.0
494,[842],Viking Pump of Canada Inc,333910.0
495,[1259],Shalom Manor Long Term Care Home,623110.0
496,[2333],E & E Seegmiller Limited,237310.0
497,[1549],Grey Bruce Health Services,622111.0
498,[2342],Agropur Cooperative,413120.0
499,[3160],Chartrand's Your Independent Grocer,445110.0
500,[2046],Peninsula Construction Inc.,238990.0
501,[962],Limen Structures Ltd,238190.0
502,[1640],Core Capitol Construction Ltd,237310.0
503,[3012],Rexdale Community Health Centre,621494.0
504,[216],Midland Power Utility Corp,221122.0
505,[1189],Lanxess Canada Co./CIE,325320.0
506,[1073],Fourwinds Construction Inc,237990.0
507,[2381],So Do It Welding & Maintenance,238140.0
508,[943],Marathon Drilling Co Ltd,236110.0
509,[1244],University Health Network (TG/TW),622111.0
510,[2946],Sudbury & District Health Unit,621494.0
511,[242],Rainbow District School Board,611110.0
512,[402],Garda Security Screening Inc,561612.0
513,[702],Agate Sewer & Water (2000) Inc,237310.0
514,[699],KPM Industries Ltd.,237310.0
515,[356],Canadian Mental Health Association,621420.0
516,[2952],Dawn Patrol Child & Youth Services Inc,624190.0
517,[2854],Hanover Care Centre,623110.0
518,[2139],Lapointe-Fisher Nursing Home,623110.0
519,[425],Corporation of The County of Grey,913910.0
520,[2772],Niagara Employment Agency Inc,561310.0
521,[156],Pilkington Glass of Canada Limited,327215.0
522,[68],County of Wellington,913910.0
523,[391],Toronto Concrete & Drain Ltd,237990.0
524,[1742],Citipark Inc.,812930.0
525,[1885],Corporation of the City of Kitchener,913910.0
526,[2129],Trentfab Industrial Contractors Inc,238299.0
527,[1758],Bardun Towers,531111.0
528,[1818],Triple A Concrete & Drain,236220.0
529,[130],Basin Custom Machining Limited,332710.0
