,organization_name,naics_code,Predicted Cluster
55,Team Industrial,541380.0,[433]
56,Hallmark Housekeeping Services Inc.,561722.0,[68]
57,Thames Valley District School Board,611110.0,[109]
58,JNF Concrete Ltd.,237310.0,[2851]
59,Canadian Asphalt Industries Inc.,324122.0,[108]
60,Vineland Quarry a Division of Walker Aggregates Inc.,212314.0,[510]
61,First Canada Ulc,,[304]
62,Top Notch Building Maintenance,,[1054]
63,401 Westbound Esso,447190.0,[375]
64,Premier Interlocking Ltd.,238990.0,[1588]
65,Bta Concrete Ltd,238190.0,[522]
66,J V D Charlebois Prostar Ltd,238220.0,[659]
67,Magic Maintenance Inc.,561722.0,[493]
68,Grey Bruce Health Unit,621494.0,[640]
69,P A T H  Employment Services,561310.0,[510]
70,Corporation of The City of St Catharines,913140.0,[2]
71,C L Masonry Ltd,238140.0,[1342]
72,Volturno Excavating Ltd,236110.0,[805]
73,Uba Inc,418410.0,[1911]
74,Magine Contractors (1994) Inc,237310.0,[633]
75,Rayonier A.M. Canada Enterprises Inc. Forest Management,113311.0,[678]
76,Gatbridge Contracting Ltd,237990.0,[409]
77,Hilton Garden Inn Toronto/Markham,721111.0,[161]
78,Corporation of The Town of Bradford West Gwillimbury,913910.0,[103]
79,Waste Management of Canada Corp,562210.0,[117]
80,Columbia-MBF a division of Atkore International Inc.,416110.0,[209]
81,Corporation of Massey Hall And Roy Thomson Hall,711112.0,[2010]
82,Jonico Excavating & Grading Inc,237990.0,[65]
83,Tw Johnstone Co Ltd,237990.0,[305]
84,1430986 O/A Roper Controls Inc,238220.0,[375]
85,Algonquin And Lakeshore Catholic District School Board,611110.0,[904]
86,Dufferin Concrete (Hamilton) a Division of CRH (Canada) Inc.,327320.0,[52]
87,Perth And Smiths Falls District Hospital,622111.0,[594]
88,Dale Brain Injury Services Inc.,623993.0,[2247]
89,Wells Gordon Limited c.o.b.as The Briton House Retirement Centre,623310.0,[1849]
90,Landtar Construction,238990.0,[32]
91,Sault Ste Marie And District Group Health Association,621494.0,[789]
92,Richards-Wilcox Custom Systems Inc,238299.0,[2272]
93,Corporation of the City of Cambridge,913140.0,[2]
94,London Paving Bros Inc,236220.0,[504]
95,Del-Ko Paving & Construction Co. Ltd.,237310.0,[817]
96,Lear Corp,336360.0,[1013]
97,Ontario Industrial Roofing Contractors' Association,238160.0,[667]
98,Jacobs Industrial Services Ltd,238990.0,[1175]
99,Police Services Board of the Corporation of the Town of Gananoque,913130.0,[36]
100,Davies Elevator Corp,238291.0,[1638]
101,Strategic Communications Inc,541611.0,[360]
102,F. J. Davey Home,623110.0,[965]
103,Premiere Cable,238990.0,[375]
104,Utility Installation Ltd,237130.0,[3127]
105,Meadow Park Incorporated (Meadow Park Retirement Home),623110.0,[2439]
106,Corus Entertainment Inc (Chex-Tv Ckru-Am Ckwf-Fm),515110.0,[1238]
107,Robin's Foods 2006 Ltd.,722310.0,[2486]
108,Trudel & Sons Roofing Ltd.,238160.0,[1829]
109,Ottawa Community Housing Corporation,531112.0,[968]
110,Multi Task Construction Inc.,236110.0,[2554]
111,Toronto East General Hospital,622111.0,[1319]
112,Flowserve Canada Corp,333910.0,[264]
113,Glengarry News Limited,511110.0,[3011]
114,Navistar Canada Inc.,415290.0,[124]
115,Board of Governors of Exhibition Place,713110.0,[62]
116,Camtac Contracting Ltd,237990.0,[2659]
117,McKelvey Contracting Limited,238990.0,[2448]
118,2090108 Ontario Ltd,236220.0,[2482]
119,Northern Material Processing Inc.,493190.0,[2758]
120,Parmalat Canada Inc.,311511.0,[1909]
121,Northern Ontario School of Medicine,611310.0,[567]
122,Central Ontario Hydroseeding,238990.0,[828]
123,Madawaska Valley Association for Community Living,623210.0,[2656]
124,St. Joseph's Continuing Care Centre,622310.0,[1759]
125,Erie Shores Healthcare,622111.0,[977]
126,Chouinard Bros Aluminum Ltd.,238160.0,[3101]
127,Parmalat Canada Inc.,311511.0,[1909]
128,Canadian Food Inspection Agency,911240.0,[916]
129,M Genua Excavating & Trenching,238910.0,[994]
130,Good Shepherd Refuge Social Ministries,624230.0,[843]
131,Corporation of The Township of Machar,913910.0,[349]
132,Regional Municipality of Waterloo,913910.0,[46]
133,Source (Bell) Electronics Inc.,417320.0,[806]
134,Cusentino Ltd,238910.0,[128]
135,Conseil Scolaire De District Catholique De L'Est Ontarien,611110.0,[3146]
136,Regina Gardens,623110.0,[1549]
137,Handi Transit,485990.0,[2532]
138,Inkas Security Services Ltd,561612.0,[3148]
139,Southbridge Health Care LP operating as The Palace Alexandria,623110.0,[2117]
140,Board of Health Northwestern Health Unit,621494.0,[1647]
141,Alexandra Hospital,622111.0,[1051]
142,Dollar Thrifty Automotive Group Canada Inc,532111.0,[859]
143,Algoma Manor Nursing Home Thessalon,623110.0,[910]
144,Royal Oak Long Term Care Centre,623110.0,[1260]
145,Gordon Schoenfeldt,238220.0,[839]
146,Tube City Ims Canada Inc,237990.0,[1418]
147,Ryder Truck Rental Canada Ltd,484110.0,[1257]
148,Brooks Creative House Inc.,541810.0,[800]
149,P.R.W. Excavating Contractors Ltd,237990.0,[2072]
150,OPGI Management Limited Partnership,531310.0,[245]
151,Utility Contractors' Association of Ontario,237130.0,[2318]
152,Yanfeng Canada Automotive Interior Systems ULC (YFAI),336360.0,[264]
153,Federal Marine Terminals,493110.0,[2520]
154,North American Steel Equipment Inc.,337127.0,[1857]
155,Pipe Line Contractors Association of Canada,237120.0,[3133]
156,Ross Memorial Hospital,622111.0,[147]
157,Cope Construction and Contracting Inc.,238990.0,[911]
158,Unicco Facility Services Canada Co,561722.0,[262]
159,Domtar Inc.,322121.0,[1749]
160,Woodstock Hydro Services Inc,221122.0,[847]
161,Selkirk Canada Corporation,332329.0,[2983]
162,Syncor Construction Inc,238340.0,[2774]
163,Awl Excavating Inc,237990.0,[2029]
164,Mckelvey Contracting Ltd,238990.0,[2448]
165,Maple Terrazzo Marble & Tile Inc,238340.0,[611]
166,Aramark Canada Ltd.,722310.0,[33]
167,Quality Home Trim,238.0,[562]
168,Sonoco Canada Corp,322219.0,[2342]
169,Kennedy Electric,236110.0,[999]
170,David Martin Enterprises (London) Ltd,561722.0,[395]
171,"Driver's Industrial Installation Ltd., FT Asset Management Services Integrated Ltd.",238390.0,[203]
172,Alden Equipment Inc,237310.0,[1208]
173,Lakehead Marine And Industrial Inc,336611.0,[2803]
174,Bluewater District School Board,611110.0,[592]
175,Hobart Food Equipment Group Canada a Division of ITW Canada Inc,333310.0,[1061]
176,Enwin Utilities Ltd,221122.0,[1752]
177,Port Hope Police Services Board,913130.0,[171]
178,"Elizabeth Centre, a division of Valley East Long Term Care Centre Inc.",623110.0,[510]
179,Graduate Student Society,813410.0,[1330]
180,Chartwell Pinewood,623310.0,[139]
181,Spallacci Group Limited,236110.0,[561]
182,Canadian Niagara Power Inc,221122.0,[2077]
183,Vaughan Public Library Board,519121.0,[329]
184,Jobstart,561310.0,[375]
185,1752336 Ontario Ltd (Total Source Contracting),237990.0,[2637]
186,1000060 Ontario Ltd Cob Cobi Concrete Sawing,238990.0,[2482]
187,Groves Park Lodge,623110.0,[1198]
188,Pace Independent Living,623222.0,[297]
189,Osprey Media Group Inc (Kingston Whig-Standard),511110.0,[1811]
190,Ontario Addiction Treatment Centres,621420.0,[667]
191,1017828 Ontario Inc,237310.0,[2297]
192,St. Michaels Inc (7849532 Canada Inc),238910.0,[1125]
193,Advanced Structural Waterproofing,238140.0,[2315]
194,Cox Construction Ltd,237310.0,[44]
195,Rite Pak Produce Co. Limited,413150.0,[3018]
196,Concrete Walls Ltd,238340.0,[522]
197,Crown Metal Packaging Canada Lp,332431.0,[1021]
198,Chateau Park Nursing Home,623110.0,[1579]
199,Surex Community Services,623210.0,[1115]
200,Carleton University,611310.0,[201]
201,Rexel Canada Electrical Inc,416110.0,[2547]
202,Avaya Canada Corp,417320.0,[264]
203,Mini-Skool A Childs Place Inc,624410.0,[324]
204,Corporation of the Township of Addington Highlands,913910.0,[349]
205,Waypoint Centre For Mental Health Care,622210.0,[2428]
206,Magic Touch Building Maintenance Ltd,236220.0,[493]
207,Canada Catering Co Ltd,722320.0,[1873]
208,Belding Tank Technologies Inc,238220.0,[2900]
209,Children'S Aid Society Of Northumberland,624110.0,[81]
210,C C Construction Site Service Group Inc,237120.0,[1640]
211,City of Kenora Public Library Board,519121.0,[1074]
212,Halton District School Board,611110.0,[465]
213,Hamilton International Airport Limited,488119.0,[1170]
214,Conseil Scolaire Catholique Du Nouvel-Ontario,611110.0,[1671]
215,York Condominium Corporation No. 60,531310.0,[2796]
216,1796518 Ontario Inc o/a Lakeshore Roadworks,237110.0,[3081]
217,Black Coalition for AIDS Prevention of Metropolitan Toronto,624190.0,[2871]
218,Corporation of The Township of Bonfield,913910.0,[349]
219,TForce Final Mile,484121.0,[375]
220,Caressant Care Nursing and Retirement Homes Limited (Woodstock Retirement Home),623110.0,[1167]
221,Campus Co-Operative Day Care Centre,624410.0,[882]
222,Brant County Health Unit,621494.0,[1456]
223,Canadian Standards Association,813910.0,[3136]
224,Engineered Foam Products Canada Ltd,326290.0,[2903]
225,Corporation of the City of Brantford,913910.0,[2]
226,Oak Leaf Confections Co.,311340.0,[2330]
227,WAYS Mental Health Support,624110.0,[660]
228,Bellissimo Excavating Ltd,236220.0,[805]
229,Hastings And Prince Edward District School Board,611110.0,[272]
230,Caressant Care Nursing & Retirement Homes Limited,623110.0,[28]
231,Cornwall Police Services Board,913130.0,[36]
232,Thunder Bay District Health Unit,621494.0,[459]
233,Winkup Construction Ltd (Lasalle Backhoe Service),237990.0,[44]
234,Meadowcroft Holdings Inc,623310.0,[3008]
235,Meritor Aftermarket Canada Inc,,[144]
236,Youth Services YSB of Ottawa,624110.0,[366]
237,Corporation of The United Counties of Prescott and Russell/Corporation Des Comtés Unis De Prescott et Russell,621911.0,[59]
238,On The Level,238350.0,[1598]
239,R M Belanger Ltd,237120.0,[2955]
240,SFL Canusa Canada Ltd.,325510.0,[1077]
241,Thyssenkrupp Encoke Inc,238140.0,[87]
242,Algoma Central Railway Inc,482114.0,[1286]
243,County Of Elgin At Elgin Manor,623110.0,[53]
244,Corporation of The City of Orillia,913910.0,[2]
245,Univar Solutions Canada Ltd.,418410.0,[1402]
246,Dawson's Excavating,237990.0,[958]
247,J & R Gradall Rentals Inc,237310.0,[2281]
248,Emir-Hal Entrprises Inc,238170.0,[87]
249,Blue Star Construction Corp,237310.0,[1142]
250,Complex Services Inc c.o.b. Casino Niagara and Niagara Fallsview Casino Resort,713210.0,[23]
251,Findhelp Information Services,813920.0,[2716]
252,Guildcrest Building Corp,321992.0,[2227]
253,Great Northern Nursing Centre,623110.0,[658]
254,Cornwall Street Railway Light & Power Company Limited Cornwall Ontario - Operating as Cornwall Electric a FortisOntario Company,221122.0,[195]
255,Canadian Opera Company,711112.0,[456]
256,True Flooring Inc,238990.0,[3067]
257,Interior Systems Contractors Association of Ontario,238310.0,[907]
258,2337216 Ontario Inc. o/a Performance Elevator,238291.0,[2980]
259,Corporation of the Municipality of Clarington,913910.0,[59]
260,Corporation of the Municipality of St-Charles,913910.0,[59]
261,1256458 Ontario Ltd,238910.0,[1853]
262,Algoma Central Railway Inc,482114.0,[1286]
263,Rhodes Investments (Sault) Inc,238910.0,[418]
264,Santa Maria Foods ULC - A Sofina Foods Company,311614.0,[2111]
265,Corporation of the City of Belleville,913140.0,[2]
266,1173336 Ontario Ltd (Dominion Sheet Metal),238.0,[2482]
267,Strong Foundation Inc,236220.0,[2500]
268,Corporation of the City of Cornwall,623310.0,[2]
269,Morguard NAR (Ontario) Holdings Limited,531111.0,[2826]
270,Anne & Max Tanenbaum Community Hebrew Academy of Toronto,611110.0,[675]
271,Garson Pipe Contractors Limited,237120.0,[189]
272,Amor Construction,238910.0,[32]
273,PNR Railworks Inc,237990.0,[3065]
274,Occupational Health Clinics for Ontario Workers Inc.,621499.0,[255]
275,Perfect Metro Cleaners Inc.,561722.0,[2841]
276,Extendicare Scarborough,623110.0,[443]
277,Hydon Holdings Ltd,722110.0,[858]
278,Collingwood General and Marine Hospital,622111.0,[704]
279,1531147 Ontario Inc (Millennium Crane Rental Ltd),237990.0,[3081]
280,National Steel Car Ltd,336510.0,[1900]
281,Sault Star (Postmedia),511110.0,[2715]
282,McMurrich Sprouts Daycare,624410.0,[2936]
283,Nipissing-Parry Sound Student Transportation Services,485410.0,[550]
284,"2480102 Ontario Inc. carrying on as, Best Western Plus Mariposa Inn & Conference Centre",721111.0,[807]
285,Conseil Scolaire Catholique Franco-Nord,611110.0,[1671]
286,"CKKW/CFCA-FM, Division of CTV Ltd",515110.0,[1457]
287,Cdn Auto Workers Union,813930.0,[881]
288,Brookfield Properties Ltd,531310.0,[785]
289,Sunbeam Centre,623222.0,[73]
290,Taranis Contracting Group Ltd.,237310.0,[1428]
291,University Health Network,622111.0,[243]
292,Mcgillivray And Sons Contractors Ltd,237310.0,[1975]
293,Air Canada,481110.0,[353]
294,WBSZ Holdings Ltd. o/a Comfort Inn South Windsor,721111.0,[2383]
295,Alexa Construction Inc,238990.0,[2893]
296,Coppley Ltd.,315220.0,[787]
297,880019 Ontario Ltd,237110.0,[2482]
298,Tobias House Attendant Care Inc,623999.0,[800]
299,Dominion Motors (Thunder Bay 1984) Limited,441110.0,[2422]
300,Ruetgers Canada Inc. (Formerly Vft Canada Inc),325190.0,[806]
301,Laurentian University/L'Universite Laurentienne de Sudbury,611310.0,[744]
302,Windsor-Essex Catholic District School Board,611110.0,[1127]
303,Naylor Building Partnerships Inc.,238990.0,[2227]
304,Advance Cutting & Coring Ltd.,238990.0,[1842]
305,Mon Sheong Long Term Care Centre,623110.0,[951]
306,K A C Enterprises,237310.0,[2708]
307,Walkerville Rest Home,623310.0,[2985]
308,Compass Canada Support Services (Eurest Services),561722.0,[58]
309,Foam Solution Inc.,325220.0,[806]
310,Sivaco Ontario,331222.0,[2821]
311,Wabco Freight Car Products Ltd,332910.0,[2903]
312,708055 Ontario Ltd (Global Crane Ltd),237110.0,[2482]
313,Aramark Canada Ltd.,561722.0,[33]
314,Corporation of The City of Brockville,913910.0,[2]
315,Forages Mse Drilling,236220.0,[632]
316,Lafarge Canada Inc.,212314.0,[107]
317,Michael Garron Hospital,622111.0,[325]
318,J & A Cleaning Solutions Limited,561722.0,[260]
319,CAA Travel (South Central Ontario) Inc. and CAA Services (South Central Ontario) Inc.,813920.0,[639]
320,Massey Wholesale Ltd.,413110.0,[812]
321,Lafarge Canada Inc.,212314.0,[107]
322,Dufferin Construction Co,237130.0,[385]
323,Maple Industries Inc,331110.0,[2199]
324,Revera Living,623110.0,[3051]
325,Ams Contracting,236220.0,[184]
326,Ansell Mechanical Ltd,238220.0,[1487]
327,2035205 Ontario Ltd (Britannia Price Chopper),445110.0,[2482]
328,Independent Unionized Landscaping Contractors’ Association on behalf of T. Bolton Sod Co Ltd,238990.0,[351]
329,Centro-Clinton Day Care Centre,624410.0,[882]
330,GDI Services (Canada) LP,561722.0,[27]
331,Kemptville District Hospital,622111.0,[961]
332,St. Joseph's Villa of Sudbury,623310.0,[919]
333,Cadillac Fairview Corporation Limited,531120.0,[604]
334,Revolution VSC LP operating as Terrapure Environmental (Tonolli Canada),562210.0,[1986]
335,Cobourg Police Services Board,913130.0,[823]
336,"Oshawa PUC Networks, Inc",221122.0,[87]
337,Environmental Commissioner of Ontario,912910.0,[143]
338,University of Ottawa Students’ Union,813410.0,[39]
339,Ridgewood Industries,337123.0,[118]
340,Carleton University,611310.0,[201]
341,Stonehaven Specialty Contracting Corp,238910.0,[3050]
342,Baycrest Centre For Geriatric Care,622310.0,[585]
343,Bayfield Homes Ltd.,623992.0,[393]
344,Industries Tri-Cept Inc,333299.0,[2199]
345,Algoma District School Board,611110.0,[628]
346,Vermilion Bay Co-Operative Limited,452999.0,[1419]
347,1652472 Ontario Inc O/A North Key Construction,237120.0,[3081]
348,Brian Thompson Excavating Ltd,236220.0,[2678]
349,Extendicare (Canada) Inc,623110.0,[723]
350,Bombardier Aerospace de Havilland Division (Toronto),336410.0,[899]
351,"Chartwells, a divison of Compass Canada",722310.0,[510]
352,A & F Di Carlo Construction Ltd,237310.0,[391]
353,African & Caribbean Council On Hiv/Aids In Ontario (Accho),813210.0,[2239]
354,Hb White Canada Corp,237120.0,[1615]
355,King Paving & Construction Ltd.,236220.0,[2537]
356,Wellington House Nursing Home,623110.0,[2003]
357,Nutra Services Inc.,722310.0,[453]
358,Royal Pine Homes,236110.0,[1862]
359,"Titan GMS LP, O/A Watson Building Supplies",416310.0,[1282]
360,University of Guelph (CFRU-FM),515110.0,[155]
361,Access Better Living Inc./Vie lndépendante et Enrichie,624120.0,[1160]
362,R A B Properties,531310.0,[946]
363,Stirling Manor Nursing Home,623110.0,[910]
364,New-life Mills a division of Parrish and Heimbecker Ltd,311615.0,[510]
365,Greif Bros Canada Inc,332439.0,[1802]
366,Clariant  Plastics & Coating Canada Inc.,325130.0,[712]
367,Kingston Health Sciences Centre,622111.0,[208]
368,Jack Cooper Canada (LP2),484110.0,[2516]
369,Live Nation Canada Inc.,711321.0,[124]
370,Mon Sheong Home For The Aged,623110.0,[951]
371,Eastern Ontario Health Unit,621494.0,[2185]
372,Renfrew County Catholic District School Board,611110.0,[85]
373,Agc Flat Glass,238150.0,[984]
374,Xerox Canada Ltd,334110.0,[34]
375,Best Western Primrose Hotel,721111.0,[513]
376,Specialty Care Inc,623110.0,[1499]
377,Madonna Care Community,623110.0,[3176]
378,Good Neighbours' Club o/a Haven Toronto,624190.0,[2327]
379,Wellington Catholic District School Board,611110.0,[674]
380,Villa Marconi Health Centre,623110.0,[2511]
381,Corporation of The City of Sault Ste Marie,485110.0,[2]
382,Lansing Residence,623310.0,[2475]
383,Rheem Canada Limited,416120.0,[106]
384,Canadian Nuclear Laboratories,541710.0,[267]
385,Memme Excavation Co Ltd,237110.0,[1460]
386,Catalina Excavating Inc.,238910.0,[1475]
387,"Accommodation, Information And Support Inc",531112.0,[1975]
388,Acores T Construction Inc,238140.0,[1525]
389,Kingston Health Sciences Centre,622111.0,[208]
390,Kennedy Lodge Nursing Home,623110.0,[1046]
391,Mississauga Halton Local Health Integration Network,621610.0,[392]
392,Durham Residential Construction Labour Bureau,236110.0,[423]
393,Capital Paving Inc.,237310.0,[2221]
394,Gravel Doctor Construction & Materials,238910.0,[500]
395,Redpath Sugar Ltd.,311310.0,[1448]
396,"CTV Television, Division of Bell Media Inc.",515120.0,[3135]
397,Murray Excavation & Demolition,238910.0,[2361]
398,Ceva Logistics Canada Ulc,488990.0,[853]
399,Frm Contracting Inc,238910.0,[2515]
400,Wilfrid Laurier University,611310.0,[295]
401,Weston Bakeries Limited,311830.0,[229]
402,Corporation of The City of Welland,485110.0,[2]
403,Gottardo Enterprises-Oregon Construction Ltd,236220.0,[44]
404,Community Care City of Kawartha Lakes,623110.0,[339]
405,Killarney Constructors Inc.,238910.0,[806]
406,Township of Hornepayne,913910.0,[928]
407,Corporation of the Town of Wasaga Beach,913140.0,[103]
408,Prosserman Jewish Community Centre,813410.0,[3044]
409,Craig's Backhoe Service,237310.0,[849]
410,Goderich Place Retirement Residence,623310.0,[1839]
411,E.R. Schepens Electrical Ltd,238210.0,[1838]
412,Capital Cutting & Coring Ltd.,238120.0,[1842]
413,Community Living Ajax Pickering & Whitby,623210.0,[2756]
414,Jadcon Flooring Ltd,238340.0,[3067]
415,Stone Lodge Retirement Home,623110.0,[1298]
416,Thrive Counselling,624190.0,[375]
417,Niagara Formwork Structures Inc.,237990.0,[2325]
418,Essex Powerlines Corp,221122.0,[1013]
419,GDI Services (Canada) LP,561722.0,[27]
420,Aem Equipment Rentals Ltd,237120.0,[455]
421,1068132 Ontario Ltd,238140.0,[2482]
422,West Nipissing General Hospital,622111.0,[178]
423,Greater Toronto Electrical Contractors Association,238210.0,[337]
424,Satin Finish Hardwood Flooring Ltd,321919.0,[3067]
425,Compass Canada Support Services Limited O/A Hurley,561722.0,[58]
426,7480686 Ontario Ltd (A-Max Contracting),237120.0,[2482]
427,"Cascades Tissue Group  - Toronto PM, a division of Cascades Canada ULC.",322121.0,[3139]
428,Hurricane Hydrovac Inc. a Division of Heaton Sanitation Ltd.,238910.0,[1438]
429,Unger Nursing Homes Ltd.,623110.0,[1250]
430,Bre-Ex Ltd,237990.0,[128]
431,Cavendish Manor Retirement Home,623310.0,[288]
432,Robert Soper Limited,314120.0,[1406]
433,York Condominium Corporation No. 202,531310.0,[2796]
434,Corporation of The Township of Lake of Bay,913910.0,[349]
435,Dixie Fence Ltd,238990.0,[1846]
436,"G6 Canada Hospitality ULC, d/b/a Studio 6",721111.0,[2124]
437,Transalta Generation Partnership O.H.S.C. Ottawa,221111.0,[614]
438,Deep River Public Library Board,519121.0,[311]
439,Bianchi Contracting (2004) Inc,237120.0,[2300]
440,AMCO Storage Inc.,493110.0,[806]
441,Canadian Niagara Hotels Inc,721111.0,[2077]
442,Corporation of The Town of Whitchurch-Stouffville,913910.0,[103]
443,Bentall Kennedy (Canada) LP,531310.0,[822]
444,Dater Excavating Inc,237310.0,[187]
445,District of Kenora Home For The Aged Board of Management,623310.0,[1004]
446,Traditions of Durham,623310.0,[1721]
447,Omya Canada Inc.,327990.0,[124]
448,Tim Lipsitt Excavating,236220.0,[958]
449,T & M Mechanical Ltd,238220.0,[814]
450,Corporation of the Town of Kapuskasing,913140.0,[103]
451,Unicco Facility Services Canada Co,561722.0,[262]
452,Santé Manitouwadge Health,622111.0,[1255]
453,Mauser Canada Ltd.,332439.0,[1077]
454,Caressant Care Nursing & Retirement Homes Ltd,623110.0,[28]
455,Residential Ornamental Contractors,238390.0,[423]
456,West Carleton Sand & Gravel Inc,237310.0,[1471]
457,Siemens Canada Limited (Siemens Milltronics Process Instruments),334512.0,[106]
458,Hk Sheet Metal Ltd,238170.0,[216]
459,F.I. Contracting,238120.0,[184]
460,York Condominium Corporation # 331,531310.0,[22]
461,Innovative Group Facility & Building Services,561722.0,[481]
462,Dundas Manor Limited,623110.0,[288]
463,Construction Simdev,237990.0,[32]
464,Middlesex Terrace Nursing Home,623110.0,[1887]
465,Ross Memorial Hospital,622111.0,[147]
466,C.A.A Masonry Inc,238140.0,[1667]
467,Aramark Canada Ltd.,722310.0,[33]
468,Community Living Sarnia-Lambton,623210.0,[2756]
469,Corporation of the Town of Collingwood,913910.0,[103]
470,Matthews Hall,611110.0,[375]
471,Kennedy Lodge Nursing Home,623110.0,[1046]
472,Prince Metal Products Ltd,336211.0,[1134]
473,Bee-Clean Building Maintenance Ltd,561722.0,[41]
474,Intercity Cermic Tile Centre,238340.0,[2015]
475,Dukesue Inc. o/a Livingstone Manor Retirement Residence,623310.0,[25]
476,Clyde Steel Contracting Services Inc,238990.0,[2953]
477,Horizons for Youth,624110.0,[2115]
478,Assisted Living Southwestern Ontario,623993.0,[2902]
479,Pilkington Glass of Canada Ltd,327214.0,[1032]
480,Caressant Care Nursing and Retirement Homes Limited (Arthur Nursing Home),623110.0,[1167]
481,Personal Attendant Care Inc.,624120.0,[1384]
482,Council of Canadians,813410.0,[542]
483,FMC Cutting & Coring/6484182 Canada Inc.,238990.0,[1842]
484,Clyde Union Pumps Canada An SPX Flow Company,333910.0,[1146]
485,Algoma Ship Repair a Division of Algoma Central Corporation,336611.0,[510]
486,Yrc Reimer,484110.0,[1427]
487,Corporation of The Town of Marathon,913910.0,[103]
488,Kerr Industries Ltd,333619.0,[2492]
489,"Ottawa Citizen, A Division of Postmedia Network Inc.",511110.0,[818]
490,SST Group of Companies,238990.0,[1622]
491,Centre For Women & Trans People,813310.0,[2043]
492,Theo Vandenberk Construction Inc,238190.0,[2893]
493,Niagara District Homes Committee for the Physically Disabled,623993.0,[254]
494,Viking Pump of Canada Inc,333910.0,[2762]
495,Shalom Manor Long Term Care Home,623110.0,[1162]
496,E & E Seegmiller Limited,237310.0,[54]
497,Grey Bruce Health Services,622111.0,[640]
498,Agropur Cooperative,413120.0,[2112]
499,Chartrand's Your Independent Grocer,445110.0,[334]
500,Peninsula Construction Inc.,238990.0,[1497]
501,Limen Structures Ltd,238190.0,[1617]
502,Core Capitol Construction Ltd,237310.0,[44]
503,Rexdale Community Health Centre,621494.0,[3044]
504,Midland Power Utility Corp,221122.0,[721]
505,Lanxess Canada Co./CIE,325320.0,[264]
506,Fourwinds Construction Inc,237990.0,[2893]
507,So Do It Welding & Maintenance,238140.0,[375]
508,Marathon Drilling Co Ltd,236110.0,[3009]
509,University Health Network (TG/TW),622111.0,[243]
510,Sudbury & District Health Unit,621494.0,[1143]
511,Rainbow District School Board,611110.0,[287]
