organization_id,meta_match_name
16372,Baybridge Amica At St Catharines Place St Catharines Previously St Catharines Place Primetime Living Db Heatherwood Retirement Residence St Catharines Place Retirement Residence
16372,St Catharines Place Primetime Living Db Heatherwood Retirement Residence St Catharines Place Retirement Residence
16371,Revera Long Term Care Operating Kilean Lodge
16371,Kilean Lodge
16371,Central Care Kilean Lodge
16371,Central Care Corp Kilean Lodge
16370,Baycrest Geriatric Care
16370,Baycrest
16369,Inergi
16369,Vertex Customer Management Canada
16368,Agropur Canada
16368,Agropur
16367,Robbins Hebrew
16367,United Synagogue Day School
16366,Hilton Garden Inn Toronto Brampton East
16366,Pearson Balu Holdings Operating Hilton Garden Inn Toronto Brampton
16365,To Live Formerly Sony Performing Arts
16365,Directors Civic Theatres Toronto
16365,Directors Hummingbird Performing Arts
16365,Directors Hummingbird Perf Arts
16364,North Superior Healthcare Mccausland
16364,Mccausland Hospital
16363,Canwood Cob Phoenix I
16363,Canwood
16362,Keay Nursing E J Mcquigge Lodge
16362,Keay Nursing
16362,Keay Nursing Ej Mcquigge Lodge
16361,Forest Hill Place Retirement Residence
16361,Hcnrevera Lessee Lp By Its General Partner Hcnrevera Lessee Gp Operating Forest Hill Place Forest Hill Place Forest Hill Place
16361,Revera Retirement
16360,Hamilton Grace Villa
16360,Grace Villa Nursing Home
16360,Grace Villa A Division Apans Health Hamilton
16360,Grace Villa Nursing Home Apans Health
16360,Apans Health
16359,Nutra Ancaster Stoney Creek
16359,1107989 Ontario Nutra
16359,Nutra
16359,1107989 Ontario Nutra Formerly Nutra 2000
16358,Spectrum Facility Management
16358,Hamilton Entertainment Convention
16357,Southbridge Pinewood
16357,Southbridge Care Operating Pinewood
16357,Revera Long Term Care Operating Pinewood
16357,Revera Long Term Care Operatin Pinewood
16357,Pinewood
16356,Centennial Retirement Residence
16356,Chartwell Centennial Retirement Residence
16356,1247817 Ontario Cob Centennial Retirement Home
16356,1247817 Ontario Centennial Retirement Home
16355,Positive Living Niagara Aids Niagara
16355,Positive Living Niagara
16355,Housing Support Workers Positive Living Niagara
16354,Compass Minerals Canada
16354,Compass Minerals Canada Corp Goderich Mine
16353,Doubletree By Hilton Toronto Airport West
16353,Toronto Airport West Previously Delta Toronto Airport West
16352,Crh Canada Operating Dufferin Aggregates
16352,Dufferin Aggregates Aberfoyle Operations
16352,Dufferin Aggregates Aberfoyle
16351,Cocacola Canada Bottling
16351,Cocacola Refreshments Canada
16350,Quadreal Property
16350,Bentall Kennedy Lp Canada
16349,Sudbury Integrated Nickel Operations A Glencore
16349,Sudbury Integrated Nickel Operations A Glencore Formerly Xstrata Canada
16349,Xstrata Canada
16348,Algoma Industrial
16348,Algoma Industrial Power Wash Division
16347,Philips Lighting Canada
16347,Philips Electronics
16346,Northeastern Ontario Construction
16346,Sudbury Construction
16345,Credit Valley Hospital Trillium Health
16345,Trillium Health Queensway Health Mississauga Hospital
16345,Trillium Health
16344,Garderie Tunneys Daycaregarderie Tunneys Daycare
16344,Garderie Tunneys Daycare
16343,Alumasafway
16343,Alumasystems
16342,Independent Linen
16342,Cleanwear Uniform Cob Independent Linen
16341,B M Mailing
16341,Printing Canada
16340,Gbsp Corp Young Performing Arts
16340,Gbsp
16339,Manor At Gravenhurst
16339,Gravenhurst Manor Lifetimes Living
16339,Gravenhurst Retirement Residence
16339,Gravenhurst Retirement Residence Prev Gravenhurst Manor
16339,Gravenhurst Manor Chartwell Seniors Housing Reit
16339,Gravenhurst Manor
16338,Belleville Intelligencer Sun Media A Division Postmedia Networks
16338,Osprey Media Publishing
16337,Lehigh Hanson Materials
16337,Essroc Canada
16336,To Live Formerly Sony Performing Arts
16336,To Live
16336,Directors Hummingbird Performing Arts Carrying On Sony
16336,Directors Hummingbird Perf Arts
16335,3450 Dufferin Yorkdale Holdings Holiday Inn Yorkdale
16335,3450 Dufferin Yorkdale Holdings
16335,3450 Duffein Yorkdale Holdings
16335,Bhmc Canada
16334,Pan Atlantic Construction
16334,Panatlantic Construction Copan Atlantic Construction
16333,Canpar Transport Lpcanpar Transport Sec
16333,Canpar Transport
16332,Espanola Recreation Complex
16332,Espanola
16331,Glen Hill Terrace Christian
16331,Glen Hill Strathaven
16331,Strathaven Lifecare
16331,Marnwood Lifecare Strathaven Lifecare
16330,Uxbridge Cottage Hospital Markham Stouffville Hospital
16330,Markham Stouffville Hospital
16329,Kendall Printing
16329,Printing Canada
16328,President Place Operating Clarion
16328,President Place Operating Clarion Sudbury
16328,Clarion
16328,President Place
16327,T G E A Management La Chaumiere Retirement Residence
16327,Treco Corp La Chaumiere Retirement Residence
16327,T G E A Management La Chaumiere Retirement Res
16326,Chippawa Creek At Bella Care Residence Place Seniors Living
16326,Bella Senior Care Residences
16325,Surewerx
16325,Surewerx Formerly Jet Equipment Tools
16325,Jet Equipment Tools
16324,Columbia Forest Long Term Care
16324,Axr Operating Lp Operating Columbia Forest Long Term Care National
16324,Revera Long Term Care Operating Columbia Forest Long Term Care
16324,Revera Long Term Care
16323,Vision Rest Home
16323,Vision Rest Home Vision 74 Rest Home
16322,Township Gerogian Bluffs
16322,Township Georgian Bluffs
16322,Georgian Bluffs Township
16321,Canada Post Corpsociété Canadienne Des Postes
16321,Canada Post
16320,Enbridge Gas
16320,Enbridge Gas Previously Union Gas
16320,Union Gas
16319,Dufferin Concrete A Division Crh Canada
16319,Holcim Canada
16318,Canadian Media Producers
16318,Canadian Media Production Cmpa
16318,Canadian Film Television Production
16317,Madonna Care Community
16317,Leisureworld Caregiving Madonna
16316,Oak Terrace
16316,Revera Long Term Care Operating Oak Terrace Long Term Care Facility
16316,Revera Long Term Care Operating Oak Terrace
16316,Revera Long Term Care Opeating Oak Terrace Long Term Care Facility
16316,Revera Long Term Care
16315,Iler Lodge
16315,Axr Operating Lp Operating Iler Lodge National
16315,Revera Long Term Care Operating Iler Lodge
16315,Revera Long Term Care
16314,Parkview Home Aged Stouffville
16314,Mennonite Home York County
16314,Parkview Long Term Care Home
16314,Parkview Home Aged
16313,Chartwells
16313,Walfoods
16312,Zebio Masonry
16312,Zebio Masonry Ltdzebio Masonry
16311,Cooperation Canada Formerly Canadian Cooperation
16311,Canadian Cooperation
16310,Brookfield Canada
16310,Brookfield First Canadian Place
16310,Brookfield
16309,Sleeman Breweries
16309,Sleeman Brewing Malting
16308,Caressant Care Nursing Retirement Clarencerockland Bourget
16308,Caressant Care Nursing Retirement Bourget Nursing Home
16308,Caressant Care Nursing Retirement
16307,Lnnvest Lp Dba Kimpton Saint George
16307,Innvest Gpiii Holiday Inn Toronto Bloor Yorkville
16307,Innvest Gp Iii Holiday Inn Toronto Midtown
16306,Niagara Castings
16306,Johnson Matthey
16305,Otr Wheel
16305,North Shore Steel Products Cob North Shore Industrial Wheel Mfg
16304,Holiday Inn Suites Toronto Airport West Formerly Quality Inn Suites Airport
16304,Lnn Vest Gp Ambler Airport
16303,Lagasco
16303,Dundee Energy Dundee Energy
16303,Dundee Energy Eurogas
16303,Dundee Energy Lp Eurogas
16302,Springdale County Manor
16302,Omni Health Care
16302,Omni Healthcare Operating Springdale Country Manor
16301,Ryam Forest Products
16301,Tembec
16300,Compass Canada Crothall At Hamilton Health
16300,Sodexo Canada
16299,Postma Concrete Forming
16299,1614818 Ontario Cob Postma Concrete Forming
16298,Crane Canada Operating Crane Supply
16298,Crane Canada Crane Supply Ottawa Div
16297,Zochem Ulc A Subsidiary Zinc Acquisition Holdings
16297,Zochem Division Horsehead
16297,Horsehead
16296,Village Seniors Community
16296,Revera Retirement Cob Village Seniors Community Sprucewood Lodge
16296,Revera Living
16295,Electrical Trade Bargaining Agency
16295,Electrical Trade Bargaining Agency Electrical Contractors Ontario Work
16295,Electrical Trade Bargaining Agency Electrical Contractors Ontario
16294,Outotec Canada
16294,Outotec Canada Master Brendan
16293,Parsec Intermodal Canada
16292,Springdale County Manor
16292,Omni Health Care Springdale Country Manor
16292,Omni Health Care
16292,Omni Health Care Lp Springdale Country Manor
16291,Danzer Canada
16291,Interforest
16290,Great Lake Elevator
16290,Great Lakes Elevator
16290,Parrish Heimbecker
16289,Metcalfe Retirement Residence St Thomas
16289,Metcalfe Retirement
16289,Diversicare Canada Mgmt Metcalfe
16288,Ilsc Education Incilsc Toronto
16288,Ilsc Toronto
16287,Provincial Fruit
16286,Cocacola Canada Bottling
16286,Cocacola Refreshments Canada
16285,Caressant Care Nursing Retirement Marmora
16285,Caressant Care Nursing Retirement Marmora Nursing Home
16285,Caressant Care Nursing Retirement
16284,Canada Government Canadian Forces
16284,Canada Government
16283,Aquaterra
16283,Aquaterra Corporationcanadian Springs
16282,Extendicare Multihome Agreements
16282,Extendicare Timmins Nursing Home
16282,Extendicare Timmins
16282,Extendicare Canada
16281,Southwestern Ontario Military Family Resource
16281,Military Family Resource London
16281,London Military Family Resource
16280,Fort Erie Live Racing Consortium
16280,Nordic Gaming
16279,Seaforth Long Term Care Home
16279,Provincial Nursing Home Cob Seaforth Manor Nursing Home
16279,Provincial Nursing Home Lp Seaforth Manor Nursing Home
16279,Provincial Nursing Home
16278,Canada Government Nonpublic Funds Canadian Forces
16278,Canada Government
16277,9313303 Canada
16277,7943741 Canada Corp Cob Valcaz
16276,Mohawk Medbuy
16276,Mohawk Shared
16275,Living Waters Resorts Cranberry Resort
16275,Cranberry Resort
16274,Cobourg Retirement Residence
16274,Cobourg Retirement Residence Ob 681707 Ontario
16274,681707 Ontario Cobourg Retirement Residence
16273,Providence Care Providence Manor Site
16273,Providence Care
16272,Milman North Bay Salvage
16272,North Bay Salvage
16272,Triple M Metal
16271,1525 Nb Quality Inn North Bay
16271,Inn Vest Gp North Bay Travelodge
16270,St Catharines Standard A Division Sun Media
16270,Osprey Media Publishing
16269,1866487 Ontario Northern Equipment
16269,1232249 Ont Midcan Crane
16268,Process Systems Integration Dba Process Panel
16268,Process Systems Integration
16267,Inergi Cso
16267,Inergi Cso Formerly Vertex Customer Management Canada
16267,Vertex Customer Management Canada
16266,Bimedamtc Animal Health Santé Animale
16266,Bimedamtc Animal Health
16265,Bradgate Arms
16265,Bradgate Arms Retirement Residence
16265,Bradgate Arms 273534 Ont
16264,Carlisle Retirement Residence
16264,Carlisle
16264,2002035 Ontario Cob Carlisle
16264,Carlisle Formerly 2002035 Ontario Cob Atrium Villa
16264,2002035 Ontario Atrium Villa
16263,Cavalluzzo Lip
16263,Chsmc Management
16262,Arterra Wines Canada Formerly Constellation Brands Canada
16262,Constellation Brands Canada
16261,Sienna Senior Living Barnswallow Placehawthorn Woodswoodbridge Vistalangstaff Squaremaple Grovewaters Edgespencer House
16261,Sienna Senior Living Elmira Brampton Woods Brampton Meadows North Bay Richmond Hill Vaughan
16261,Sienna Senior Living Barnswallow Place Hawthorn Woods Woodbridge Vista Langstaff Square Maple Grove Waters Edge Spencer House
16261,Leisureworld Caregiving
16260,Conmed Health Care
16260,Medipark Lodges Carrying On Valley Lodge
16260,Medi Lodges Valley Lodge
16260,Medi Lodges Carrying On Valley Lodge
16259,Shorcais
16259,Shorcais Shorcais Contractors
16259,Shorcais Ltdshorcais Contractors
16258,Cogeco Peer 1 Canada
16258,Cogeco Data
16257,Counselling Family Ottawa
16257,Counselling Family Ottawaservice Familial Et Counseling Ottawa
16257,Catholic Family Ottawaservice Familial Catholique Ottawa
16257,Catholic Family Ottawa
16256,Ventas Canada Retirement Iii Lp Sherbrooke Heights
16256,Ventas Canada Retirement Iii
16256,Holiday Canada Management Ulc
16255,Arcelormittal Long Products Canada
16255,Arcelormittal Montreal
16254,Counselling Familial Timmins Inctimmins Family Counselling
16254,Timmins Family Counselling Inccentre Counselling Familial Timmins
16254,Timmins Family Counselling
16253,Enbridge Gas
16253,Union Gas
16252,Kaplan
16252,Plipacific Language Institute
16251,Cocacola Canada Bottling
16251,Cocacola Refreshments Canada
16250,Lasalle Retirement Residence
16250,Chartwell Seniors Housing Reit
16249,Symphony Senior Living Ccarleton Place Manor
16249,Carleton Place Terrace By Symphony
16249,Carleton Place Manor
16248,Stirling Heights
16248,Axr Operating Lp Operating Stirling Heights National
16248,Central Care Corp Stirling Heights Long Term Care Ctr
16248,Central Care Corp Operating Stirling Heights Long Term Care
16248,Central Care Operating Stirling Heights Long Term Care
16247,Asahi Refining
16247,Johnson Matthey
16246,Spectra Venue Management
16246,Hamilton Entertainment Convention
16245,2554190 Ontario Four Points By Sheraton Toronto Airport East
16245,Islington Quality Suites Airport East
16245,Islington Quality Suites Toronto Airport East
16244,Regency Retirement Home
16244,Southbridge Care Regency Manor Retirement Home
16244,Regency Manor Retirement Home Division Provincial Residence
16244,Provincial Residence
16243,Covia Canda
16243,Lakeshore Sand Ontario
16242,Municipality Lakeshore
16242,Lakeshore
16241,Awccu
16241,Auto Workers Community Credit Union
16240,Maple City Residence Chatham
16240,Maple City Residence
16240,Diversicare Canada Management Coinc
16239,Port Colborne Grain Terminal A Division Parrish Heimbecker
16239,Goderich Elevators
16238,Vpiinc
16238,Vpi
16237,Lusitania Masonry Contractors
16237,Lusitania Masonry Contracting Andor Crossline Masonry Contracting
16236,Pembroke Daily Observer Sun Media A Division Postmedia Networks
16236,Daily Observer A Division Osprey Media Publishing
16236,Osprey Media Lp Daily Observer
16235,Toronto District Contractors On Behalf Ganiva Trim
16235,Ganiva Trim
16234,Muskoka Shores Care Community
16234,Leisureworld Muskoka
16233,Trillium
16233,Revera Long Term Care Operating Trillium
16233,Versa Care Trillium
16233,Trillium Kincardine
16232,Loblaw Thunder Bay Real Canadian Superstore
16232,Westfair Foods
16231,Xactics
16231,Xactics 2001
16230,Pantages Toronto
16230,Skyline Resorts Cob Pantages Spa
16230,Skyline Resorts
16229,Loeb Canada
16228,Rb Canada
16228,Rb Corp Canada
16227,Bruyère Continuing Care
16227,Soins Continus Bruyère Continuing Care
16227,Bruyère Continuing Caresoins Continus Bruyère
16227,Bruyere Continuing Caresoins Continus Bruyère
16227,Bruyere Continuing Care
16226,Mills Community Support Corp Almonte
16226,Carebridge Community Support
16226,Mills Community Support
16225,Chronicle Journal A Division Continental Newspapers Canada
16225,Continental Newspapers Canada
16224,Servico Limitee
16224,Servico Limitedlimitée
16224,Servico
16223,Berry
16223,Pgi Fabrene
16222,St Josephs Motherhouse Sault Ste Marie
16222,St Josephs Motherhouse
16222,St Josephs Motherhouse City North Bay
16221,Leisureworld Caregiving
16221,Sienna Senior Living
16220,Usrl
16220,Underground 1983
16219,Parkway Retirement Residence
16219,Chartwell Parkway Retirement Residence
16219,1179298 Ontario Parkway Retirement Home
16219,1179298 Ontario Cob Chartwell Parkway Retirement Home
16219,1179298 Ontario Parkway Retirement Home Chartwell
16218,2008788 Ontario Operating Caledon Tubing
16218,Caledon Tubing A Division Rea
16217,Enbridge Gas
16217,Union Gas
16216,Jarlette Health
16216,Jarlette Temiskaming Lodge
16216,Jarlette
16215,Sarnia Observer
16215,Sun Media
16214,Sheet Metal Workers Local 30
16214,Sheet Metal Workers Union Local 30
16214,Sheet Metal Workers Interntional Local Union No 30
16214,Sheet Metal Workers Union
16213,Algoma District Public Health Unit
16213,Health District Algoma Health Unit Algoma Public Health
16213,Health District Algoma Health Unit
16212,Metcalfe
16212,1258881 Ontario Operating Indigo Ottawa
16212,1258881 Ontario Indigo Ottawa
16211,Rayonier Am Canada
16211,Tembec
16210,Cawthra Long Term Care Residence
16210,Cawthra Long Term Care Community
16210,Cawthra
16209,Brockville Mental Health
16209,Royal Ottawa Health Care Brockville Mental Health
16209,Royal Ottawa Health Care
16208,Holiday Inn Toronto East
16208,Innvest Xii Lp Cob Holiday Inn Toronto East
16208,Innvest Master Xi Cob Holiday Inn
