organization_name,naics_code
Rexel Canada Electrical Inc,416110.0
Avaya Canada Corp,417320.0
Mini-Skool A Childs Place Inc,624410.0
Corporation of the Township of Addington Highlands,913910.0
Waypoint Centre For Mental Health Care,622210.0
Magic Touch Building Maintenance Ltd,236220.0
Canada Catering Co Ltd,722320.0
Belding Tank Technologies Inc,238220.0
Children'S Aid Society Of Northumberland,624110.0
C C Construction Site Service Group Inc,237120.0
City of Kenora Public Library Board,519121.0
Halton District School Board,611110.0
Hamilton International Airport Limited,488119.0
Conseil Scolaire Catholique Du Nouvel-Ontario,611110.0
York Condominium Corporation No. 60,531310.0
1796518 Ontario Inc o/a Lakeshore Roadworks,237110.0
Black Coalition for AIDS Prevention of Metropolitan Toronto,624190.0
Corporation of The Township of Bonfield,913910.0
TForce Final Mile,484121.0
Caressant Care Nursing and Retirement Homes Limited (Woodstock Retirement Home),623110.0
Campus Co-Operative Day Care Centre,624410.0
Brant County Health Unit,621494.0
Canadian Standards Association,813910.0
Engineered Foam Products Canada Ltd,326290.0
Corporation of the City of Brantford,913910.0
Oak Leaf Confections Co.,311340.0
WAYS Mental Health Support,624110.0
Bellissimo Excavating Ltd,236220.0
Hastings And Prince Edward District School Board,611110.0
Caressant Care Nursing & Retirement Homes Limited,623110.0
Cornwall Police Services Board,913130.0
Thunder Bay District Health Unit,621494.0
Winkup Construction Ltd (Lasalle Backhoe Service),237990.0
Meadowcroft Holdings Inc,623310.0
Meritor Aftermarket Canada Inc,
Youth Services YSB of Ottawa,624110.0
Corporation of The United Counties of Prescott and Russell/Corporation Des Comtés Unis De Prescott et Russell,621911.0
On The Level,238350.0
R M Belanger Ltd,237120.0
SFL Canusa Canada Ltd.,325510.0
Thyssenkrupp Encoke Inc,238140.0
Algoma Central Railway Inc,482114.0
County Of Elgin At Elgin Manor,623110.0
Corporation of The City of Orillia,913910.0
Univar Solutions Canada Ltd.,418410.0
Dawson's Excavating,237990.0
J & R Gradall Rentals Inc,237310.0
Emir-Hal Entrprises Inc,238170.0
Blue Star Construction Corp,237310.0
Complex Services Inc c.o.b. Casino Niagara and Niagara Fallsview Casino Resort,713210.0
Findhelp Information Services,813920.0
Guildcrest Building Corp,321992.0
Great Northern Nursing Centre,623110.0
Cornwall Street Railway Light & Power Company Limited Cornwall Ontario - Operating as Cornwall Electric a FortisOntario Company,221122.0
Canadian Opera Company,711112.0
True Flooring Inc,238990.0
Interior Systems Contractors Association of Ontario,238310.0
2337216 Ontario Inc. o/a Performance Elevator,238291.0
Corporation of the Municipality of Clarington,913910.0
Corporation of the Municipality of St-Charles,913910.0
1256458 Ontario Ltd,238910.0
Algoma Central Railway Inc,482114.0
Rhodes Investments (Sault) Inc,238910.0
Santa Maria Foods ULC - A Sofina Foods Company,311614.0
Corporation of the City of Belleville,913140.0
1173336 Ontario Ltd (Dominion Sheet Metal),238.0
Strong Foundation Inc,236220.0
Corporation of the City of Cornwall,623310.0
Morguard NAR (Ontario) Holdings Limited,531111.0
Anne & Max Tanenbaum Community Hebrew Academy of Toronto,611110.0
Garson Pipe Contractors Limited,237120.0
Amor Construction,238910.0
PNR Railworks Inc,237990.0
Occupational Health Clinics for Ontario Workers Inc.,621499.0
Perfect Metro Cleaners Inc.,561722.0
Extendicare Scarborough,623110.0
Hydon Holdings Ltd,722110.0
Collingwood General and Marine Hospital,622111.0
1531147 Ontario Inc (Millennium Crane Rental Ltd),237990.0
National Steel Car Ltd,336510.0
Sault Star (Postmedia),511110.0
McMurrich Sprouts Daycare,624410.0
Nipissing-Parry Sound Student Transportation Services,485410.0
"2480102 Ontario Inc. carrying on as, Best Western Plus Mariposa Inn & Conference Centre",721111.0
Conseil Scolaire Catholique Franco-Nord,611110.0
"CKKW/CFCA-FM, Division of CTV Ltd",515110.0
Cdn Auto Workers Union,813930.0
Brookfield Properties Ltd,531310.0
Sunbeam Centre,623222.0
Taranis Contracting Group Ltd.,237310.0
University Health Network,622111.0
Mcgillivray And Sons Contractors Ltd,237310.0
Air Canada,481110.0
WBSZ Holdings Ltd. o/a Comfort Inn South Windsor,721111.0
Alexa Construction Inc,238990.0
Coppley Ltd.,315220.0
880019 Ontario Ltd,237110.0
Tobias House Attendant Care Inc,623999.0
Dominion Motors (Thunder Bay 1984) Limited,441110.0
Ruetgers Canada Inc. (Formerly Vft Canada Inc),325190.0
Laurentian University/L'Universite Laurentienne de Sudbury,611310.0
Windsor-Essex Catholic District School Board,611110.0
Naylor Building Partnerships Inc.,238990.0
Advance Cutting & Coring Ltd.,238990.0
Mon Sheong Long Term Care Centre,623110.0
K A C Enterprises,237310.0
Walkerville Rest Home,623310.0
Compass Canada Support Services (Eurest Services),561722.0
Foam Solution Inc.,325220.0
Sivaco Ontario,331222.0
Wabco Freight Car Products Ltd,332910.0
708055 Ontario Ltd (Global Crane Ltd),237110.0
Aramark Canada Ltd.,561722.0
Corporation of The City of Brockville,913910.0
Forages Mse Drilling,236220.0
Lafarge Canada Inc.,212314.0
Michael Garron Hospital,622111.0
J & A Cleaning Solutions Limited,561722.0
CAA Travel (South Central Ontario) Inc. and CAA Services (South Central Ontario) Inc.,813920.0
Massey Wholesale Ltd.,413110.0
Lafarge Canada Inc.,212314.0
Dufferin Construction Co,237130.0
Maple Industries Inc,331110.0
Revera Living,623110.0
Ams Contracting,236220.0
Ansell Mechanical Ltd,238220.0
2035205 Ontario Ltd (Britannia Price Chopper),445110.0
Independent Unionized Landscaping Contractors’ Association on behalf of T. Bolton Sod Co Ltd,238990.0
Centro-Clinton Day Care Centre,624410.0
GDI Services (Canada) LP,561722.0
Kemptville District Hospital,622111.0
St. Joseph's Villa of Sudbury,623310.0
Cadillac Fairview Corporation Limited,531120.0
Revolution VSC LP operating as Terrapure Environmental (Tonolli Canada),562210.0
Cobourg Police Services Board,913130.0
"Oshawa PUC Networks, Inc",221122.0
Environmental Commissioner of Ontario,912910.0
University of Ottawa Students’ Union,813410.0
Ridgewood Industries,337123.0
Carleton University,611310.0
Stonehaven Specialty Contracting Corp,238910.0
Baycrest Centre For Geriatric Care,622310.0
Bayfield Homes Ltd.,623992.0
Industries Tri-Cept Inc,333299.0
Algoma District School Board,611110.0
Vermilion Bay Co-Operative Limited,452999.0
1652472 Ontario Inc O/A North Key Construction,237120.0
Brian Thompson Excavating Ltd,236220.0
Extendicare (Canada) Inc,623110.0
Bombardier Aerospace de Havilland Division (Toronto),336410.0
"Chartwells, a divison of Compass Canada",722310.0
A & F Di Carlo Construction Ltd,237310.0
African & Caribbean Council On Hiv/Aids In Ontario (Accho),813210.0
Hb White Canada Corp,237120.0
King Paving & Construction Ltd.,236220.0
Wellington House Nursing Home,623110.0
Nutra Services Inc.,722310.0
Royal Pine Homes,236110.0
"Titan GMS LP, O/A Watson Building Supplies",416310.0
University of Guelph (CFRU-FM),515110.0
Access Better Living Inc./Vie lndépendante et Enrichie,624120.0
R A B Properties,531310.0
Stirling Manor Nursing Home,623110.0
New-life Mills a division of Parrish and Heimbecker Ltd,311615.0
Greif Bros Canada Inc,332439.0
Clariant  Plastics & Coating Canada Inc.,325130.0
Kingston Health Sciences Centre,622111.0
Jack Cooper Canada (LP2),484110.0
Live Nation Canada Inc.,711321.0
Mon Sheong Home For The Aged,623110.0
Eastern Ontario Health Unit,621494.0
Renfrew County Catholic District School Board,611110.0
Agc Flat Glass,238150.0
Xerox Canada Ltd,334110.0
Best Western Primrose Hotel,721111.0
Specialty Care Inc,623110.0
Madonna Care Community,623110.0
Good Neighbours' Club o/a Haven Toronto,624190.0
Wellington Catholic District School Board,611110.0
Villa Marconi Health Centre,623110.0
Corporation of The City of Sault Ste Marie,485110.0
Lansing Residence,623310.0
Rheem Canada Limited,416120.0
Canadian Nuclear Laboratories,541710.0
Memme Excavation Co Ltd,237110.0
Catalina Excavating Inc.,238910.0
"Accommodation, Information And Support Inc",531112.0
Acores T Construction Inc,238140.0
Kingston Health Sciences Centre,622111.0
Kennedy Lodge Nursing Home,623110.0
Mississauga Halton Local Health Integration Network,621610.0
Durham Residential Construction Labour Bureau,236110.0
Capital Paving Inc.,237310.0
Gravel Doctor Construction & Materials,238910.0
Redpath Sugar Ltd.,311310.0
"CTV Television, Division of Bell Media Inc.",515120.0
Murray Excavation & Demolition,238910.0
Ceva Logistics Canada Ulc,488990.0
Frm Contracting Inc,238910.0
Wilfrid Laurier University,611310.0
Weston Bakeries Limited,311830.0
Corporation of The City of Welland,485110.0
Gottardo Enterprises-Oregon Construction Ltd,236220.0
Community Care City of Kawartha Lakes,623110.0
Killarney Constructors Inc.,238910.0
Township of Hornepayne,913910.0
Corporation of the Town of Wasaga Beach,913140.0
Prosserman Jewish Community Centre,813410.0
Craig's Backhoe Service,237310.0
Goderich Place Retirement Residence,623310.0
E.R. Schepens Electrical Ltd,238210.0
Capital Cutting & Coring Ltd.,238120.0
Community Living Ajax Pickering & Whitby,623210.0
Jadcon Flooring Ltd,238340.0
Stone Lodge Retirement Home,623110.0
Thrive Counselling,624190.0
Niagara Formwork Structures Inc.,237990.0
Essex Powerlines Corp,221122.0
GDI Services (Canada) LP,561722.0
Aem Equipment Rentals Ltd,237120.0
1068132 Ontario Ltd,238140.0
West Nipissing General Hospital,622111.0
Greater Toronto Electrical Contractors Association,238210.0
Satin Finish Hardwood Flooring Ltd,321919.0
Compass Canada Support Services Limited O/A Hurley,561722.0
7480686 Ontario Ltd (A-Max Contracting),237120.0
"Cascades Tissue Group  - Toronto PM, a division of Cascades Canada ULC.",322121.0
Hurricane Hydrovac Inc. a Division of Heaton Sanitation Ltd.,238910.0
Unger Nursing Homes Ltd.,623110.0
Bre-Ex Ltd,237990.0
Cavendish Manor Retirement Home,623310.0
Robert Soper Limited,314120.0
York Condominium Corporation No. 202,531310.0
Corporation of The Township of Lake of Bay,913910.0
Dixie Fence Ltd,238990.0
"G6 Canada Hospitality ULC, d/b/a Studio 6",721111.0
Transalta Generation Partnership O.H.S.C. Ottawa,221111.0
Deep River Public Library Board,519121.0
Bianchi Contracting (2004) Inc,237120.0
AMCO Storage Inc.,493110.0
Canadian Niagara Hotels Inc,721111.0
Corporation of The Town of Whitchurch-Stouffville,913910.0
Bentall Kennedy (Canada) LP,531310.0
Dater Excavating Inc,237310.0
District of Kenora Home For The Aged Board of Management,623310.0
Traditions of Durham,623310.0
Omya Canada Inc.,327990.0
Tim Lipsitt Excavating,236220.0
T & M Mechanical Ltd,238220.0
Corporation of the Town of Kapuskasing,913140.0
Unicco Facility Services Canada Co,561722.0
Santé Manitouwadge Health,622111.0
Mauser Canada Ltd.,332439.0
Caressant Care Nursing & Retirement Homes Ltd,623110.0
Residential Ornamental Contractors,238390.0
West Carleton Sand & Gravel Inc,237310.0
Siemens Canada Limited (Siemens Milltronics Process Instruments),334512.0
Hk Sheet Metal Ltd,238170.0
F.I. Contracting,238120.0
York Condominium Corporation # 331,531310.0
Innovative Group Facility & Building Services,561722.0
Dundas Manor Limited,623110.0
Construction Simdev,237990.0
Middlesex Terrace Nursing Home,623110.0
Ross Memorial Hospital,622111.0
C.A.A Masonry Inc,238140.0
Aramark Canada Ltd.,722310.0
Community Living Sarnia-Lambton,623210.0
Corporation of the Town of Collingwood,913910.0
Matthews Hall,611110.0
Kennedy Lodge Nursing Home,623110.0
Prince Metal Products Ltd,336211.0
Bee-Clean Building Maintenance Ltd,561722.0
Intercity Cermic Tile Centre,238340.0
Dukesue Inc. o/a Livingstone Manor Retirement Residence,623310.0
Clyde Steel Contracting Services Inc,238990.0
Horizons for Youth,624110.0
Assisted Living Southwestern Ontario,623993.0
Pilkington Glass of Canada Ltd,327214.0
Caressant Care Nursing and Retirement Homes Limited (Arthur Nursing Home),623110.0
Personal Attendant Care Inc.,624120.0
Council of Canadians,813410.0
FMC Cutting & Coring/6484182 Canada Inc.,238990.0
Clyde Union Pumps Canada An SPX Flow Company,333910.0
Algoma Ship Repair a Division of Algoma Central Corporation,336611.0
Yrc Reimer,484110.0
Corporation of The Town of Marathon,913910.0
Kerr Industries Ltd,333619.0
"Ottawa Citizen, A Division of Postmedia Network Inc.",511110.0
SST Group of Companies,238990.0
Centre For Women & Trans People,813310.0
Theo Vandenberk Construction Inc,238190.0
Niagara District Homes Committee for the Physically Disabled,623993.0
Viking Pump of Canada Inc,333910.0
Shalom Manor Long Term Care Home,623110.0
E & E Seegmiller Limited,237310.0
Grey Bruce Health Services,622111.0
Agropur Cooperative,413120.0
Chartrand's Your Independent Grocer,445110.0
Peninsula Construction Inc.,238990.0
Limen Structures Ltd,238190.0
Core Capitol Construction Ltd,237310.0
Rexdale Community Health Centre,621494.0
Midland Power Utility Corp,221122.0
Lanxess Canada Co./CIE,325320.0
Fourwinds Construction Inc,237990.0
So Do It Welding & Maintenance,238140.0
Marathon Drilling Co Ltd,236110.0
University Health Network (TG/TW),622111.0
Sudbury & District Health Unit,621494.0
Rainbow District School Board,611110.0
Garda Security Screening Inc,561612.0
Agate Sewer & Water (2000) Inc,237310.0
KPM Industries Ltd.,237310.0
Canadian Mental Health Association,621420.0
Dawn Patrol Child & Youth Services Inc,624190.0
Hanover Care Centre,623110.0
Lapointe-Fisher Nursing Home,623110.0
Corporation of The County of Grey,913910.0
Niagara Employment Agency Inc,561310.0
Pilkington Glass of Canada Limited,327215.0
County of Wellington,913910.0
Toronto Concrete & Drain Ltd,237990.0
Citipark Inc.,812930.0
Corporation of the City of Kitchener,913910.0
Trentfab Industrial Contractors Inc,238299.0
Bardun Towers,531111.0
Triple A Concrete & Drain,236220.0
Basin Custom Machining Limited,332710.0
421532 Ontario Ltd. O/A City Cabs,485310.0
Compass Group Canada Ltd.,722310.0
Loeb Canada Inc,445110.0
McMaster University,611310.0
Metropolitan Maintenance A Division of 469006 Ontario Inc.,561722.0
Unifor Family Education Centre,813930.0
Metro Ontario Inc,445110.0
Hornepayne Community Hospital,622111.0
American Water Canada Corp,221310.0
Pro-Tech Utilities,237130.0
D C Fence & Contracting Inc.,238990.0
Ontario Government (Her Majesty The Queen In Right of the Province of  Ontario),912130.0
Compass Group Canada Limited,722310.0
Trillium Lakelands District School Board,611110.0
West Carleton Sand & Gravel Inc,416390.0
TST Overland Express,484110.0
Expercom Telecommunications,238210.0
Cirrus Management Contracting Limited,236210.0
Alcon Construction,238140.0
Accessible Community Counselling And Employment Services,624190.0
Clc Construction Ltd,237990.0
Simcoe Muskoka Catholic District School Board,611110.0
Aramark Canada Ltd.,722310.0
Versacold Logistics Services,493120.0
Revera Long Term Care Inc. operating as Mackenzie Place,623110.0
Bruyère Continuing Care (For Saint-Vincent Hospital and Élisabeth Bruyère Hospital),622310.0
Fourwinds Construction Inc,237310.0
Mics Group of Health Services,622111.0
Smid Construction Limited,238990.0
291 Construction Ltd.,237990.0
Near North District School Board,611110.0
Vinny Cement Finishing Co Ltd,238110.0
Hy-Grade Precast Concrete Ltd.,327390.0
1663432 Ontario Ltd. o/a Manoir Marochel,623110.0
Dyno Nobel Canada Inc.,325920.0
Barton Retirement Inc (Wellington Retirement Lodge),623310.0
Summit Pipeline Services Ltd,237120.0
1375069 Ontario Ltd,236110.0
Carleton Place And District Memorial Hospital,622111.0
2108703 Ontario Inc. o/a Onsite Contractors,238990.0
Brenntag Canada Inc.,418410.0
Cwa - Cie Wilfrid Allen,238910.0
Sanofi Pasteur Limited,325410.0
John Bianchi Grading Ltd,237310.0
Compass Group Canada Ltd. O/A Eurest Services,561722.0
Woodington Systems Inc,562210.0
Gauge Mechanical Services Inc,238220.0
Kile Contr. Inc.,236210.0
Add Construction Ltd,237990.0
Nexterra Substructures Incorporated,238990.0
Green & Chercover,541110.0
1213567 Ontario Inc As Williams Brothers,238990.0
Scarlett Heights,623310.0
Revera Long Term Care Inc. Operating as Elmwood Place,623110.0
Fairmont Royal York Hotel,721111.0
M.C. Marine Inc.,238350.0
Quinn Roofing Solutions Inc.,238160.0
Niagara Peninsula Energy Inc,221122.0
Chartwell Seniors Housing Reit,623310.0
University of Guelph,611310.0
Baggs Construction Ltd,238990.0
"1293446 Ontario Inc, Operating As Hilton Garden Inn City Centre",
Midway Lumber Mills Ltd,321111.0
Lancaster Long Term Care,623110.0
J. Weber Contracting Limited,237310.0
1221981 Ontario Ltd (S & S Electric/Bolton Electric),238210.0
Rain Screen Systems,238220.0
Notre Dame Cemetery,812220.0
Sherway Contracting (Windsor) Limited,237990.0
Community Living Durham North,623210.0
Acadian Platers Co Ltd,332810.0
Brant Haldimand-Norfolk Catholic District School Board,611110.0
CultureLink Settlement and Community Services,624190.0
HMFT Inc. (Formerly Howard Marten Co Ltd),333990.0
Corporation of The Town of Midland,913910.0
Compass Group Canada (Morrison) Ltd.,722310.0
Custom Leather Canada Limited,315990.0
Granite Club,713990.0
District School Board Ontario North East,611110.0
Northeast Mental Health Centre (Nemhc),622210.0
N J  Spivak Limited,327320.0
Communications Security Establishment Cda,911110.0
Hawthorne On Essex Daycare Centre,624410.0
Waste Connections of Canada Inc.,562210.0
National Maintenance Contractors,238390.0
Metric Utilities Ltd,237130.0
Ottawa Catholic School Board,611110.0
Caressant Care Nursing & Retirement Homes Ltd,623110.0
Eva's Initiatives,624220.0
Grey Bruce Health Services,622111.0
Ontario Refrigeration and Air Conditioning Contractors Association,238220.0
Voices of Positive Women Support Services (Ontario),624190.0
York Condominium Corporation No. 128,531310.0
Avon Maitland District School Board,611110.0
Canadian Bank Note Company Limited,323119.0
Southampton Nursing Home,623110.0
Menkes Developments (Ridgegate Homes),236110.0
Ornge Air,621912.0
Northeastern Catholic District School Board,611110.0
Family Day Care Services,624410.0
Villa Care Centre,623110.0
Nordion (Canada) Inc,325189.0
Kast Engineering And Construction Ltd,237310.0
University of Ontario Institute of Technology,611310.0
762188 Ontario Ltd,484110.0
Muskoka Landing (a division of Huntsville Long Term Care Centre Inc.),623110.0
Halton Healthcare Services,622111.0
Hydro One Brampton Networks Inc,221122.0
Maple Lodge Farms Ltd.,311615.0
Awl Excavating Inc,237130.0
Toronto Catholic District School Board,611110.0
Hugh Munro Construction Ltd.,237310.0
Strathcona Hotel,721111.0
Grimebusters,561722.0
Guest Tile Inc,238340.0
Affinia Canada Ulc,336340.0
Core Manufacturing Inc.,333416.0
Sherway Contracting (Windsor) Ltd,237310.0
Leadec Industrial Services of Canada Inc.,562990.0
Group 92 Mechanical Inc.,238220.0
St. Stephen's Community House,624190.0
Badger Daylighting Lp,238910.0
Great Beginnings Child-Centered Co-Operative Inc.,624410.0
Crisis Homes Inc.,624220.0
Corporation of The Township of Scugog,913910.0
Chelsey Park Retirement Community ( Retirement Residence / Apartment Complex),623310.0
Golden Dawn Senior Citizen's Home,623110.0
West Nipissing Power Generation Ltd,221111.0
Corporation of The Township of Atikokan,913910.0
London Health Sciences Centre,622111.0
Grand River Hospital Corporation,622111.0
Agris Co-Operative Ltd,418390.0
R. Fiedler Meat Products and 832038 Ontario Ltd. c.o.b. as Fiedler Meat Products (1991),311614.0
Anne & Max Tanenbaum Community Hebrew Academy of Toronto,611110.0
Garland Commercial Ranges Ltd,333310.0
Corporation of the Town of Collingwood,913140.0
Willows Estate Long Term Care (Omni Health Care Limited Partnership),623110.0
Corporation of the Town of Arnprior,913910.0
Municipal Property Assessment Corporation,531390.0
Corporation of The County of Prince Edward,913910.0
3407471 Canada Inc (Toiture & Renovation 2000),238220.0
York Catholic District School Board,611110.0
Parkway Hotels And Convention Centre Inc.,721111.0
Ottawa Convention Centre,531120.0
Dodaro Landscaping Services Inc,238990.0
Pure Metal Galvanizing a Valmont Company,332810.0
